Order_ID,Customer_ID,Order_Date,Product_ID,Product_Name,Category,Brand,Region,State,City,Quantity,Unit_Price,Discount_Pct,Sales,Cost_Price,Profit,Inventory_Level,Customer_Rating,Return_Flag,Sales_Channel
O00001,C075,2025-03-29,P007,Dining Table,Home,Ikea,East,West Bengal,Kolkata,8,3972,20,25420.8,18716.21,6704.59,372,4,No,Store
O00002,C076,2025-11-10,P022,Football,Sports,Nike,North,UP,Noida,8,2633,15,17904.4,12551.01,5353.39,21,5,No,Online
O00003,C003,2025-11-03,P010,Mattress,Home,Sleepwell,East,Odisha,Bhubaneswar,3,2099,15,5352.45,4395.96,956.49,134,5,No,App
O00004,C002,2025-12-06,P004,Headphones,Electronics,Sony,North,UP,Noida,2,2241,0,4482.0,2482.99,1999.01,91,4,No,Online
O00005,C002,2025-02-23,P008,Mixer,Home,Philips,West,Maharashtra,Mumbai,1,2155,5,2047.25,1542.18,505.07,105,4,No,Store
O00006,C048,2025-09-28,P018,Jacket,Clothing,Nike,South,Tamil Nadu,Chennai,2,4497,15,7644.9,6291.08,1353.82,455,4,Yes,Online
O00007,C041,2025-06-06,P016,Shirt,Clothing,Levis,North,UP,Noida,5,4193,0,20965.0,13003.2,7961.8,14,5,Yes,Store
O00008,C008,2025-06-12,P009,Microwave,Home,LG,East,West Bengal,Kolkata,8,1695,10,12204.0,8132.08,4071.92,418,1,No,App
O00009,C048,2025-03-03,P007,Dining Table,Home,Ikea,South,Karnataka,Bangalore,7,400,15,2380.0,1771.63,608.37,215,5,No,App
O00010,C014,2025-12-25,P003,Laptop,Electronics,Dell,North,Delhi,Delhi,5,2890,0,14450.0,10554.75,3895.25,282,1,No,App
O00011,C004,2025-08-10,P010,Mattress,Home,Sleepwell,East,West Bengal,Kolkata,3,1063,0,3189.0,2004.57,1184.43,484,5,No,Online
O00012,C066,2025-06-19,P004,Headphones,Electronics,Sony,North,UP,Noida,7,1922,10,12108.6,7941.97,4166.63,44,1,No,App
O00013,C027,2025-05-01,P011,Face Cream,Beauty,Nivea,East,Odisha,Bhubaneswar,7,3502,0,24514.0,15150.46,9363.54,115,5,No,Store
O00014,C044,2025-06-01,P006,Sofa,Home,Ikea,East,West Bengal,Kolkata,9,4613,20,33213.6,30021.32,3192.28,462,3,No,Online
O00015,C002,2025-04-23,P020,Tshirt,Clothing,Puma,North,UP,Noida,1,4859,15,4130.15,2978.3,1151.85,100,1,No,Store
O00016,C001,2025-05-06,P017,Jeans,Clothing,Levis,South,Tamil Nadu,Chennai,6,1054,20,5059.2,4023.76,1035.44,129,5,No,App
O00017,C024,2025-11-21,P023,Basketball,Sports,Spalding,East,West Bengal,Kolkata,8,4418,0,35344.0,25873.72,9470.28,371,2,No,Store
O00018,C003,2025-05-28,P016,Shirt,Clothing,Levis,East,West Bengal,Kolkata,9,1347,10,10910.7,7232.94,3677.76,251,3,No,App
O00019,C040,2025-05-08,P003,Laptop,Electronics,Dell,West,Maharashtra,Mumbai,4,3111,15,10577.4,9770.17,807.23,38,2,No,Store
O00020,C016,2025-12-12,P025,Treadmill,Sports,Decathlon,North,UP,Noida,7,4261,5,28335.65,18328.26,10007.39,111,1,No,Online
O00021,C019,2025-10-31,P002,Galaxy,Electronics,Samsung,North,UP,Noida,5,3308,10,14886.0,9877.3,5008.7,207,3,No,App
O00022,C038,2025-04-14,P024,Yoga Mat,Sports,Decathlon,North,UP,Noida,4,4882,0,19528.0,11529.47,7998.53,339,3,No,Online
O00023,C080,2025-06-18,P003,Laptop,Electronics,Dell,North,Delhi,Delhi,2,4633,5,8802.7,6699.08,2103.62,483,1,Yes,App
O00024,C048,2025-01-22,P021,Cricket Bat,Sports,SG,East,Odisha,Bhubaneswar,8,1418,0,11344.0,7112.86,4231.14,237,5,No,Store
O00025,C061,2025-10-31,P002,Galaxy,Electronics,Samsung,North,UP,Noida,1,1159,0,1159.0,694.02,464.98,146,4,Yes,Online
O00026,C037,2025-10-07,P017,Jeans,Clothing,Levis,East,Odisha,Bhubaneswar,5,2765,10,12442.5,10188.05,2254.45,348,1,No,Store
O00027,C033,2025-09-13,P003,Laptop,Electronics,Dell,East,West Bengal,Kolkata,4,390,20,1248.0,1008.19,239.81,322,2,No,Store
O00028,C023,2025-05-07,P022,Football,Sports,Nike,South,Karnataka,Bangalore,8,2933,5,22290.8,16512.83,5777.97,154,2,No,Online
O00029,C025,2025-01-13,P008,Mixer,Home,Philips,North,Delhi,Delhi,6,3006,5,17134.2,13572.6,3561.6,315,2,Yes,Online
O00030,C032,2025-08-03,P020,Tshirt,Clothing,Puma,North,UP,Noida,3,1366,15,3483.3,2846.95,636.35,446,3,No,Store
O00031,C054,2025-04-11,P022,Football,Sports,Nike,South,Tamil Nadu,Chennai,6,1915,5,10915.5,8682.42,2233.08,480,5,No,Online
O00032,C052,2025-05-24,P007,Dining Table,Home,Ikea,East,Odisha,Bhubaneswar,4,4342,10,15631.2,12320.12,3311.08,268,2,No,App
O00033,C062,2025-10-06,P019,Sneakers,Clothing,Adidas,North,UP,Noida,3,3875,5,11043.75,6621.76,4421.99,126,1,No,Online
O00034,C001,2025-09-29,P001,iPhone,Electronics,Apple,West,Gujarat,Ahmedabad,6,759,0,4554.0,3256.33,1297.67,188,5,No,Store
O00035,C069,2025-02-16,P003,Laptop,Electronics,Dell,East,Odisha,Bhubaneswar,3,2944,20,7065.6,5113.89,1951.71,496,4,No,App
O00036,C010,2025-09-03,P016,Shirt,Clothing,Levis,North,Delhi,Delhi,4,1957,20,6262.4,5085.27,1177.13,324,4,Yes,Store
O00037,C004,2025-01-16,P010,Mattress,Home,Sleepwell,South,Karnataka,Bangalore,10,1831,0,18310.0,12539.5,5770.5,279,2,Yes,Store
O00038,C061,2025-06-28,P020,Tshirt,Clothing,Puma,East,Odisha,Bhubaneswar,2,3946,15,6708.2,4594.13,2114.07,426,5,No,Online
